957990	Abba Sabinou Monasterion	506±0
704769	Abbad	-225±15
704764	Abbad	-225±15
704772	Abbad	-225±15
704770	Abbad	-225±15
704762	Abbad	-225±15
704766	Abbad	-225±15
704771	Abbad	-225±15
704767	Abbad	-225±15
704765	Abbad	-225±15
704774	Abbad	-225±15
704763	Abbad	-225±15
704773	Abbad	-225±15
704768	Abbad	-225±15
140326	Abd el-Qadir	750±49
140330	Abd el-Qadir	750±49
140334	Abd el-Qadir	750±49
140331	Abd el-Qadir	750±49
140323	Abd el-Qadir	750±49
140322	Abd el-Qadir	750±49
140325	Abd el-Qadir	750±49
140319	Abd el-Qadir	750±49
140327	Abd el-Qadir	750±49
140324	Abd el-Qadir	750±49
140329	Abd el-Qadir	750±49
140321	Abd el-Qadir	750±49
26550	Abotis	188±12
36005	Abu el-Fadl	600±99
65165	Abu el-Fadl	600±99
89253	Abu Greiya	75±24
383673	Abû Kuway’	200±199
34958	Abu Mena	500±99
34989	Abu Mena	500±99
34962	Abu Mena	500±99
34933	Abu Mena	500±99
34951	Abu Mena	500±99
34956	Abu Mena	500±99
34931	Abu Mena	500±99
34932	Abu Mena	500±99
34983	Abu Mena	500±99
34976	Abu Mena	500±99
34992	Abu Mena	500±99
34929	Abu Mena	500±99
34925	Abu Mena	500±99
34985	Abu Mena	500±99
34940	Abu Mena	500±99
34984	Abu Mena	500±99
34975	Abu Mena	500±99
34969	Abu Mena	500±99
34947	Abu Mena	500±99
34963	Abu Mena	500±99
34941	Abu Mena	500±99
34957	Abu Mena	500±99
34986	Abu Mena	500±99
34936	Abu Mena	500±99
34937	Abu Mena	500±99
34945	Abu Mena	500±99
34943	Abu Mena	500±99
34918	Abu Mena	500±99
34964	Abu Mena	500±99
34946	Abu Mena	500±99
34949	Abu Mena	500±99
34961	Abu Mena	500±99
34959	Abu Mena	500±99
34982	Abu Mena	500±99
34988	Abu Mena	500±99
34977	Abu Mena	500±99
34965	Abu Mena	500±99
34999	Abu Mena	500±99
34926	Abu Mena	500±99
34974	Abu Mena	500±99
34934	Abu Mena	500±99
34966	Abu Mena	500±99
34967	Abu Mena	500±99
34997	Abu Mena	500±99
34980	Abu Mena	500±99
34952	Abu Mena	500±99
34923	Abu Mena	500±99
34973	Abu Mena	500±99
34968	Abu Mena	500±99
34994	Abu Mena	500±99
34927	Abu Mena	500±99
34955	Abu Mena	500±99
34996	Abu Mena	500±99
34987	Abu Mena	500±99
34922	Abu Mena	500±99
34938	Abu Mena	500±99
34953	Abu Mena	500±99
34919	Abu Mena	500±99
34971	Abu Mena	500±99
34948	Abu Mena	500±99
34972	Abu Mena	500±99
34944	Abu Mena	500±99
34928	Abu Mena	500±99
34981	Abu Mena	500±99
34970	Abu Mena	500±99
34920	Abu Mena	500±99
34990	Abu Mena	500±99
34995	Abu Mena	500±99
34939	Abu Mena	500±99
34998	Abu Mena	500±99
34960	Abu Mena	500±99
34921	Abu Mena	500±99
34954	Abu Mena	500±99
34950	Abu Mena	500±99
34991	Abu Mena	500±99
34942	Abu Mena	500±99
34930	Abu Mena	500±99
34978	Abu Mena	500±99
34993	Abu Mena	500±99
35000	Abu Mena	500±99
34979	Abu Mena	500±99
34924	Abu Mena	500±99
34935	Abu Mena	500±99
116826	Abu Mena	625±24
116773	Abu Mena	625±24
116703	Abu Mena	625±24
116665	Abu Mena	625±24
116935	Abu Mena	625±24
116471	Abu Mena	625±24
116830	Abu Mena	625±24
116461	Abu Mena	625±24
116857	Abu Mena	625±24
116292	Abu Mena	625±24
116453	Abu Mena	625±24
116834	Abu Mena	625±24
116757	Abu Mena	625±24
116623	Abu Mena	625±24
116661	Abu Mena	625±24
116914	Abu Mena	625±24
116720	Abu Mena	625±24
116232	Abu Mena	625±24
116447	Abu Mena	625±24
116251	Abu Mena	625±24
116372	Abu Mena	625±24
116749	Abu Mena	625±24
116804	Abu Mena	625±24
116890	Abu Mena	625±24
116371	Abu Mena	625±24
116541	Abu Mena	625±24
116687	Abu Mena	625±24
116706	Abu Mena	625±24
116666	Abu Mena	625±24
116794	Abu Mena	625±24
116903	Abu Mena	625±24
116788	Abu Mena	625±24
116205	Abu Mena	625±24
116467	Abu Mena	625±24
116644	Abu Mena	625±24
116870	Abu Mena	625±24
116938	Abu Mena	625±24
116790	Abu Mena	625±24
116377	Abu Mena	625±24
116557	Abu Mena	625±24
116403	Abu Mena	625±24
116286	Abu Mena	625±24
116428	Abu Mena	625±24
116252	Abu Mena	625±24
116287	Abu Mena	625±24
116418	Abu Mena	625±24
116723	Abu Mena	625±24
116417	Abu Mena	625±24
116415	Abu Mena	625±24
116309	Abu Mena	625±24
116317	Abu Mena	625±24
116851	Abu Mena	625±24
116961	Abu Mena	625±24
116838	Abu Mena	625±24
116658	Abu Mena	625±24
116545	Abu Mena	625±24
116494	Abu Mena	625±24
116482	Abu Mena	625±24
116263	Abu Mena	625±24
116726	Abu Mena	625±24
116860	Abu Mena	625±24
116702	Abu Mena	625±24
116779	Abu Mena	625±24
116481	Abu Mena	625±24
116264	Abu Mena	625±24
116360	Abu Mena	625±24
116319	Abu Mena	625±24
116369	Abu Mena	625±24
116924	Abu Mena	625±24
116455	Abu Mena	625±24
116583	Abu Mena	625±24
116932	Abu Mena	625±24
116697	Abu Mena	625±24
116601	Abu Mena	625±24
116231	Abu Mena	625±24
116551	Abu Mena	625±24
116499	Abu Mena	625±24
116416	Abu Mena	625±24
116639	Abu Mena	625±24
116638	Abu Mena	625±24
116895	Abu Mena	625±24
116659	Abu Mena	625±24
116538	Abu Mena	625±24
116438	Abu Mena	625±24
116920	Abu Mena	625±24
116542	Abu Mena	625±24
116262	Abu Mena	625±24
116211	Abu Mena	625±24
116669	Abu Mena	625±24
116780	Abu Mena	625±24
116648	Abu Mena	625±24
116244	Abu Mena	625±24
116248	Abu Mena	625±24
116816	Abu Mena	625±24
116425	Abu Mena	625±24
116904	Abu Mena	625±24
116983	Abu Mena	625±24
116893	Abu Mena	625±24
116629	Abu Mena	625±24
116522	Abu Mena	625±24
116633	Abu Mena	625±24
116336	Abu Mena	625±24
116768	Abu Mena	625±24
116874	Abu Mena	625±24
116479	Abu Mena	625±24
116954	Abu Mena	625±24
116686	Abu Mena	625±24
116617	Abu Mena	625±24
116362	Abu Mena	625±24
116807	Abu Mena	625±24
116399	Abu Mena	625±24
116837	Abu Mena	625±24
116285	Abu Mena	625±24
116921	Abu Mena	625±24
116276	Abu Mena	625±24
116899	Abu Mena	625±24
116330	Abu Mena	625±24
116609	Abu Mena	625±24
116439	Abu Mena	625±24
116552	Abu Mena	625±24
116245	Abu Mena	625±24
116346	Abu Mena	625±24
116645	Abu Mena	625±24
116934	Abu Mena	625±24
116430	Abu Mena	625±24
116811	Abu Mena	625±24
116260	Abu Mena	625±24
116206	Abu Mena	625±24
116233	Abu Mena	625±24
116888	Abu Mena	625±24
116769	Abu Mena	625±24
116947	Abu Mena	625±24
116421	Abu Mena	625±24
116819	Abu Mena	625±24
116793	Abu Mena	625±24
116865	Abu Mena	625±24
116717	Abu Mena	625±24
116356	Abu Mena	625±24
116577	Abu Mena	625±24
116707	Abu Mena	625±24
116950	Abu Mena	625±24
116777	Abu Mena	625±24
116987	Abu Mena	625±24
116449	Abu Mena	625±24
116991	Abu Mena	625±24
116420	Abu Mena	625±24
116844	Abu Mena	625±24
116404	Abu Mena	625±24
116845	Abu Mena	625±24
116366	Abu Mena	625±24
116220	Abu Mena	625±24
116227	Abu Mena	625±24
116568	Abu Mena	625±24
116326	Abu Mena	625±24
116253	Abu Mena	625±24
116846	Abu Mena	625±24
116683	Abu Mena	625±24
116818	Abu Mena	625±24
116393	Abu Mena	625±24
116548	Abu Mena	625±24
116259	Abu Mena	625±24
116710	Abu Mena	625±24
116894	Abu Mena	625±24
116578	Abu Mena	625±24
116923	Abu Mena	625±24
116946	Abu Mena	625±24
116525	Abu Mena	625±24
116732	Abu Mena	625±24
116426	Abu Mena	625±24
116302	Abu Mena	625±24
116748	Abu Mena	625±24
116434	Abu Mena	625±24
116918	Abu Mena	625±24
116970	Abu Mena	625±24
116692	Abu Mena	625±24
116913	Abu Mena	625±24
116861	Abu Mena	625±24
116849	Abu Mena	625±24
116241	Abu Mena	625±24
116487	Abu Mena	625±24
116215	Abu Mena	625±24
116534	Abu Mena	625±24
116982	Abu Mena	625±24
116413	Abu Mena	625±24
116767	Abu Mena	625±24
116452	Abu Mena	625±24
116532	Abu Mena	625±24
116488	Abu Mena	625±24
116651	Abu Mena	625±24
116581	Abu Mena	625±24
116730	Abu Mena	625±24
116278	Abu Mena	625±24
116906	Abu Mena	625±24
116308	Abu Mena	625±24
116441	Abu Mena	625±24
116929	Abu Mena	625±24
116670	Abu Mena	625±24
116315	Abu Mena	625±24
116579	Abu Mena	625±24
116465	Abu Mena	625±24
116825	Abu Mena	625±24
116536	Abu Mena	625±24
116492	Abu Mena	625±24
116261	Abu Mena	625±24
116246	Abu Mena	625±24
116414	Abu Mena	625±24
116662	Abu Mena	625±24
116879	Abu Mena	625±24
116600	Abu Mena	625±24
116275	Abu Mena	625±24
116378	Abu Mena	625±24
116881	Abu Mena	625±24
116236	Abu Mena	625±24
116606	Abu Mena	625±24
116627	Abu Mena	625±24
116405	Abu Mena	625±24
116279	Abu Mena	625±24
116214	Abu Mena	625±24
116878	Abu Mena	625±24
116615	Abu Mena	625±24
116618	Abu Mena	625±24
116318	Abu Mena	625±24
116560	Abu Mena	625±24
116528	Abu Mena	625±24
116656	Abu Mena	625±24
116567	Abu Mena	625±24
116994	Abu Mena	625±24
116731	Abu Mena	625±24
116708	Abu Mena	625±24
116614	Abu Mena	625±24
116289	Abu Mena	625±24
116993	Abu Mena	625±24
116387	Abu Mena	625±24
116782	Abu Mena	625±24
116803	Abu Mena	625±24
116783	Abu Mena	625±24
116349	Abu Mena	625±24
116836	Abu Mena	625±24
116341	Abu Mena	625±24
116775	Abu Mena	625±24
116754	Abu Mena	625±24
116872	Abu Mena	625±24
116795	Abu Mena	625±24
116321	Abu Mena	625±24
116573	Abu Mena	625±24
116612	Abu Mena	625±24
116728	Abu Mena	625±24
116320	Abu Mena	625±24
116813	Abu Mena	625±24
116446	Abu Mena	625±24
116718	Abu Mena	625±24
116526	Abu Mena	625±24
116676	Abu Mena	625±24
116373	Abu Mena	625±24
116657	Abu Mena	625±24
116537	Abu Mena	625±24
116460	Abu Mena	625±24
116679	Abu Mena	625±24
116423	Abu Mena	625±24
116964	Abu Mena	625±24
116693	Abu Mena	625±24
116866	Abu Mena	625±24
116604	Abu Mena	625±24
116802	Abu Mena	625±24
116229	Abu Mena	625±24
116829	Abu Mena	625±24
116976	Abu Mena	625±24
116796	Abu Mena	625±24
116916	Abu Mena	625±24
116721	Abu Mena	625±24
116831	Abu Mena	625±24
116466	Abu Mena	625±24
116237	Abu Mena	625±24
116228	Abu Mena	625±24
116505	Abu Mena	625±24
116367	Abu Mena	625±24
116727	Abu Mena	625±24
116212	Abu Mena	625±24
116497	Abu Mena	625±24
116509	Abu Mena	625±24
116440	Abu Mena	625±24
116208	Abu Mena	625±24
116867	Abu Mena	625±24
116510	Abu Mena	625±24
116443	Abu Mena	625±24
116680	Abu Mena	625±24
116376	Abu Mena	625±24
116495	Abu Mena	625±24
116850	Abu Mena	625±24
116596	Abu Mena	625±24
116363	Abu Mena	625±24
116886	Abu Mena	625±24
116761	Abu Mena	625±24
116735	Abu Mena	625±24
116265	Abu Mena	625±24
116284	Abu Mena	625±24
116364	Abu Mena	625±24
116858	Abu Mena	625±24
116908	Abu Mena	625±24
116724	Abu Mena	625±24
116681	Abu Mena	625±24
116342	Abu Mena	625±24
116715	Abu Mena	625±24
116556	Abu Mena	625±24
116736	Abu Mena	625±24
116637	Abu Mena	625±24
116587	Abu Mena	625±24
116688	Abu Mena	625±24
116273	Abu Mena	625±24
116853	Abu Mena	625±24
116873	Abu Mena	625±24
116328	Abu Mena	625±24
116833	Abu Mena	625±24
116996	Abu Mena	625±24
116391	Abu Mena	625±24
116386	Abu Mena	625±24
116848	Abu Mena	625±24
116597	Abu Mena	625±24
116785	Abu Mena	625±24
116379	Abu Mena	625±24
116691	Abu Mena	625±24
116823	Abu Mena	625±24
116353	Abu Mena	625±24
116814	Abu Mena	625±24
116480	Abu Mena	625±24
116300	Abu Mena	625±24
116503	Abu Mena	625±24
116361	Abu Mena	625±24
116207	Abu Mena	625±24
116841	Abu Mena	625±24
116608	Abu Mena	625±24
116756	Abu Mena	625±24
116999	Abu Mena	625±24
116450	Abu Mena	625±24
116591	Abu Mena	625±24
116322	Abu Mena	625±24
116701	Abu Mena	625±24
116463	Abu Mena	625±24
116997	Abu Mena	625±24
